127.0.0.1 - - [28/Apr/2024:15:05:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:05:40 +0530] "GET /project_3/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:05:40 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:05:40 +0530] "GET /project_3/img/IndexPage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:05:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:08:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:08:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:08:25 +0530] "GET /project_3/img/HeaderPage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Apr/2024:15:09:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 4319
