127.0.0.1 - - [10/Apr/2024:13:33:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2024:13:33:42 +0530] "GET /project_3/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [10/Apr/2024:13:33:42 +0530] "GET /project_3/img/download%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2024:13:33:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:06:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:06:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:06:09 +0530] "GET /project_3/img/download%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:08:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:08:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:17 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12529
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:17 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 200 3503158
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:40 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12529
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:14:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:16:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:16:16 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:02 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12529
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:09 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:18:09 +0530] "GET /project_3/img/course_img.jpg HTTP/1.1" 200 3750726
0:0:0:0:0:0:0:1 - - [10/Apr/2024:15:20:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7231
