127.0.0.1 - - [11/Apr/2024:13:20:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:03 +0530] "GET /project_3/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:20:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:21:25 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:21:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:21:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [11/Apr/2024:13:21:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
