127.0.0.1 - - [08/Apr/2024:13:28:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:04 +0530] "GET /project_3/ HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:04 +0530] "GET /project_3/img/download%20(1).jpg HTTP/1.1" 200 225739
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:04 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:09 +0530] "GET /project_3/img/download%20(2).jpg HTTP/1.1" 200 83336
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:34 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:34 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 200 2263867
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:43 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10016
0:0:0:0:0:0:0:1 - - [08/Apr/2024:13:28:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
